n	Cond(V_n)
674	474.47022463509967
677	955.3020449291366
678	393.0958134908979
679	1433.2400978912224
681	795.2435990257848
682	883.873108287752
683	963.7873194184193
685	1186.7586721761934
687	802.5503453170767
689	1999.1533302215337
690	674.2950457297252
691	975.1010189234979
694	488.61231486354416
695	1203.5570876819065
697	2284.9034839864526
698	491.44073322155646
699	816.4094459306948
701	989.2431435935924
703	2411.0065680972853
705	1389.8434750382444
706	497.09757023574116
707	1494.7716519161027
709	1000.5568435521919
710	609.1138795905566
713	2681.331439587441
714	899.2976531202353
715	3495.97394815148
717	837.5753010549191
718	505.5828264774916
719	1014.6989687677616
721	1524.8559851055006
723	844.8820782458808
727	1026.0126691464234
730	625.9140297219258
731	2404.631372643985
733	1034.4979445467677
734	516.8965027453839
737	1975.068485493113
739	1042.9832200441388
741	2677.457637537841
742	773.4550203234909
743	1048.6400704284622
745	1291.1908119064656
746	525.381760854019
749	1585.7060844878672
751	1059.9537713206573
753	879.9070336019621
754	1062.24341947979
755	1310.1741454443102
757	1068.4390470953372
758	533.8670196996206
759	2653.6843406309927
761	1074.0958976608556
762	442.7328161054847
763	1615.7905993081474
766	539.5238593223361
767	2228.0392160754877
769	1085.409598906892
770	1577.4409656148785
771	901.0729099829039
773	1091.0664495862193
777	1923.7399867652427
778	548.0091193206658
779	2700.1617409835135
781	2089.6672814089416
782	1242.022803535136
785	1362.0265156374026
786	456.5920891538339
787	1110.8654272497204
789	922.2387924868233
790	677.7647850083895
791	1677.3217589913513
793	2303.9546023270204
794	559.3228003239423
795	1609.7418145261563
797	1125.007554414898
798	978.2505790893874
799	2632.781666627554
802	564.979641237159
803	2150.5646974823344
805	4395.638285323728
806	1139.2671014893656
807	943.4046807037423
809	1141.978107289195
811	1144.8065327966594
813	950.7115222421496
814	1067.097374140151
815	1414.607030346855
817	2837.828576676145
818	576.2933238464805
821	1158.948660452199
822	477.75761703253187
823	1161.7770860065482
826	863.0204293649199
827	1167.433937138038
829	1170.2623627150685
830	713.5436360040833
831	971.8774268661585
834	485.06393556183275
835	1449.6607408194009
838	590.4354284989429
839	1184.4044907109267
842	593.2638496060637
843	985.7364728118534
849	993.0433359817733
851	3225.6424539761174
853	1204.203470205652
854	893.10237381674
857	1209.8603215521525
858	1129.6289383959402
859	1212.6887472355431
861	1953.7110225368237
862	607.4059559797128
863	1218.3455986223707
865	1502.2413528061745
866	610.2343774166302
869	2333.858453705635
870	780.4055532774014
871	2538.511246356022
874	1466.3592049964439
877	1238.144578681948
878	618.7196420384529
879	1028.0682836779067
881	1243.8014301848395
883	1246.6298559456188
885	1633.465875401655
886	624.3764853718687
887	1252.2867074856335
889	1887.9153857991114
890	765.3948323827398
893	3104.281327803596
894	520.0887895285656
895	1554.0932494329165
897	3252.9958119414114
898	632.8617507368075
899	3794.015544094678
901	2985.313366039103
902	1185.8739888860998
903	2055.793311482184
905	1573.0773584571764
906	527.395198465286
907	1280.5709655442483
910	2095.845510622289
911	1286.2278172254753
913	2454.4552334236237
914	644.1754385442155
915	1692.4875474758023
917	1946.0406914952446
919	1297.5415206550122
921	1077.7070120903895
922	649.8322827173217
923	2689.2055801334745
926	652.6607048691882
929	1311.6836500647355
930	839.3914846578616
933	1091.5660303957002
934	658.3175493007495
935	7362.923390584406
937	1322.9973536880293
938	984.0293302612981
939	1098.8729398884884
941	1328.65420553077
942	548.5608734198364
943	3587.476271994128
946	1242.5643538109093
947	1337.1394833330096
949	2769.098449947298
951	1112.7319531582573
953	1345.6247611802348
955	1660.7120153433464
957	3089.0699550257586
958	675.2880835796192
959	2036.977113826355
962	1369.791146045186
965	1677.5103981052682
966	1196.4269787696826
967	1365.423742994001
969	3307.1602814098655
970	836.2271678728573
971	1371.080594983485
973	2065.0157877106767
974	686.6017738785881
977	1379.5658730024156
978	569.7265731016586
979	2638.3515452654324
982	692.2586192505516
983	1388.051151062313
985	1712.5642601600864
986	1587.1928809628998
987	2474.364967809109
989	3766.79418857064
991	1399.3648552046163
993	1162.370741278904
994	1045.5539673261965
995	1729.362277091511
997	1407.8501333572342
998	703.5723104215969
